dist,theta_true,n,k,abs_bias_lcc,abs_bias_ctrdm
Lognormal,0.1,5,2,0.000786,0.000786
Lognormal,0.1,5,3,2e-05,2e-05
Lognormal,0.1,10,2,0.001556,0.001556
Lognormal,0.1,10,3,9e-06,9e-06
Lognormal,0.1,50,2,0.002876,0.002876
Lognormal,0.1,50,3,8.9e-05,8.9e-05
Lognormal,0.1,100,2,0.00317,0.00317
Lognormal,0.1,100,3,0.000115,0.000115
Lognormal,0.1,500,2,0.003568,0.003568
Lognormal,0.1,500,3,0.000158,0.000158
Lognormal,0.1,1000,2,0.003633,0.003633
Lognormal,0.1,1000,3,0.000167,0.000167
Lognormal,0.1,5000,2,0.003694,0.003694
Lognormal,0.1,5000,3,0.000176,0.000176
Lognormal,0.1,10000,2,0.003707,0.003707
Lognormal,0.1,10000,3,0.000178,0.000178
Lognormal,0.3,5,2,0.006602,0.006602
Lognormal,0.3,5,3,0.000601,0.000601
Lognormal,0.3,10,2,0.014082,0.014082
Lognormal,0.3,10,3,6.5e-05,6.5e-05
Lognormal,0.3,50,2,0.027856,0.027856
Lognormal,0.3,50,3,0.002102,0.002102
Lognormal,0.3,100,2,0.031145,0.031145
Lognormal,0.3,100,3,0.002833,0.002833
Lognormal,0.3,500,2,0.035877,0.035877
Lognormal,0.3,500,3,0.004175,0.004175
Lognormal,0.3,1000,2,0.036691,0.036691
Lognormal,0.3,1000,3,0.004484,0.004484
Lognormal,0.3,5000,2,0.037485,0.037485
Lognormal,0.3,5000,3,0.004849,0.004849
Lognormal,0.3,10000,2,0.03766,0.03766
Lognormal,0.3,10000,3,0.004929,0.004929
Lognormal,0.5,5,2,0.016636,0.016636
Lognormal,0.5,5,3,0.003001,0.003001
Lognormal,0.5,10,2,0.038704,0.038704
Lognormal,0.5,10,3,0.000381,0.000381
Lognormal,0.5,50,2,0.080402,0.080402
Lognormal,0.5,50,3,0.00858,0.00858
Lognormal,0.5,100,2,0.091742,0.091742
Lognormal,0.5,100,3,0.012161,0.012161
Lognormal,0.5,500,2,0.110201,0.110201
Lognormal,0.5,500,3,0.019281,0.019281
Lognormal,0.5,1000,2,0.114622,0.114622
Lognormal,0.5,1000,3,0.021231,0.021231
Lognormal,0.5,5000,2,0.12009,0.12009
Lognormal,0.5,5000,3,0.023974,0.023974
Lognormal,0.5,10000,2,0.121402,0.121402
Lognormal,0.5,10000,3,0.024649,0.024649
Lognormal,0.7,5,2,0.028725,0.028725
Lognormal,0.7,5,3,0.008593,0.008593
Lognormal,0.7,10,2,0.061392,0.061392
Lognormal,0.7,10,3,0.002608,0.002608
Lognormal,0.7,50,2,0.124783,0.124783
Lognormal,0.7,50,3,0.020205,0.020205
Lognormal,0.7,100,2,0.147981,0.147981
Lognormal,0.7,100,3,0.029326,0.029326
Lognormal,0.7,500,2,0.194296,0.194296
Lognormal,0.7,500,3,0.048572,0.048572
Lognormal,0.7,1000,2,0.210634,0.210634
Lognormal,0.7,1000,3,0.054437,0.054437
Lognormal,0.7,5000,2,0.240124,0.240124
Lognormal,0.7,5000,3,0.066249,0.066249
Lognormal,0.7,10000,2,0.250284,0.250284
Lognormal,0.7,10000,3,0.07021,0.07021
Lognormal,0.9,5,2,0.004772,0.004772
Lognormal,0.9,5,3,0.018577,0.018577
Lognormal,0.9,10,2,0.025197,0.025197
Lognormal,0.9,10,3,0.008194,0.008194
Lognormal,0.9,50,2,0.066956,0.066956
Lognormal,0.9,50,3,0.019516,0.019516
Lognormal,0.9,100,2,0.07913,0.07913
Lognormal,0.9,100,3,0.030194,0.030194
Lognormal,0.9,500,3,0.054627,0.054627
Lognormal,0.9,1000,3,0.064137,0.064137
Lognormal,0.9,5000,3,0.081793,0.081793
Lognormal,0.9,10000,3,0.0876,0.0876
Mixture,0.1,5,2,0.002545,0.002545
Mixture,0.1,5,3,0.000137,0.000137
Mixture,0.1,10,2,0.004088,0.004088
Mixture,0.1,10,3,4.7e-05,4.7e-05
Mixture,0.1,50,2,0.005024,0.005024
Mixture,0.1,50,3,1e-06,1e-06
Mixture,0.1,100,2,0.005106,0.005106
Mixture,0.1,100,3,2e-06,2e-06
Mixture,0.1,500,2,0.005181,0.005181
Mixture,0.1,500,3,4e-06,4e-06
Mixture,0.1,1000,2,0.005185,0.005185
Mixture,0.1,1000,3,4e-06,4e-06
Mixture,0.1,5000,2,0.005189,0.005189
Mixture,0.1,5000,3,3e-06,3e-06
Mixture,0.1,10000,2,0.00519,0.00519
Mixture,0.1,10000,3,3e-06,3e-06
Mixture,0.3,5,2,0.024449,0.024449
Mixture,0.3,5,3,0.002354,0.002354
Mixture,0.3,10,2,0.036789,0.036789
Mixture,0.3,10,3,0.00152,0.00152
Mixture,0.3,50,2,0.044197,0.044197
Mixture,0.3,50,3,0.002065,0.002065
Mixture,0.3,100,2,0.044839,0.044839
Mixture,0.3,100,3,0.001949,0.001949
Mixture,0.3,500,2,0.045422,0.045422
Mixture,0.3,500,3,0.001867,0.001867
Mixture,0.3,1000,2,0.045458,0.045458
Mixture,0.3,1000,3,0.001827,0.001827
Mixture,0.3,5000,2,0.04549,0.04549
Mixture,0.3,5000,3,0.001803,0.001803
Mixture,0.3,10000,2,0.045497,0.045497
Mixture,0.3,10000,3,0.0018,0.0018
Mixture,0.5,5,2,0.069579,0.069579
Mixture,0.5,5,3,0.003373,0.003373
Mixture,0.5,10,2,0.099623,0.099623
Mixture,0.5,10,3,0.008842,0.008842
Mixture,0.5,50,2,0.117331,0.117331
Mixture,0.5,50,3,0.026468,0.026468
Mixture,0.5,100,2,0.118819,0.118819
Mixture,0.5,100,3,0.025465,0.025465
Mixture,0.5,500,2,0.120174,0.120174
Mixture,0.5,500,3,0.021546,0.021546
Mixture,0.5,1000,2,0.12027,0.12027
Mixture,0.5,1000,3,0.020745,0.020745
Mixture,0.5,5000,2,0.120346,0.120346
Mixture,0.5,5000,3,0.02022,0.02022
Mixture,0.5,10000,2,0.120364,0.120364
Mixture,0.5,10000,3,0.020158,0.020158
Mixture,0.7,5,2,0.136039,0.136039
Mixture,0.7,5,3,0.035944,0.035944
Mixture,0.7,10,2,0.187378,0.187378
Mixture,0.7,10,3,0.025335,0.025335
Mixture,0.7,50,2,0.216968,0.216968
Mixture,0.7,50,3,0.020327,0.020327
Mixture,0.7,100,2,0.219367,0.219367
Mixture,0.7,100,3,0.041678,0.041678
Mixture,0.7,500,2,0.221554,0.221554
Mixture,0.7,500,3,0.089648,0.089648
Mixture,0.7,1000,2,0.221721,0.221721
Mixture,0.7,1000,3,0.112929,0.112929
Mixture,0.7,5000,2,0.221846,0.221846
Mixture,0.7,5000,3,0.15114,0.15114
Mixture,0.7,10000,2,0.221877,0.221877
Mixture,0.7,10000,3,0.161912,0.161912
Mixture,0.9,5,2,0.229972,0.229972
Mixture,0.9,5,3,0.117779,0.117779
Mixture,0.9,10,2,0.295979,0.295979
Mixture,0.9,10,3,0.132541,0.132541
Mixture,0.9,50,2,0.33622,0.33622
Mixture,0.9,50,3,0.150618,0.150618
Mixture,0.9,100,2,0.339464,0.339464
Mixture,0.9,100,3,0.164983,0.164983
Mixture,0.9,500,2,0.342431,0.342431
Mixture,0.9,500,3,0.22735,0.22735
Mixture,0.9,1000,2,0.34267,0.34267
Mixture,0.9,1000,3,0.226369,0.226369
Mixture,0.9,5000,2,0.34284,0.34284
Mixture,0.9,5000,3,0.230061,0.230061
Mixture,0.9,10000,2,0.342885,0.342885
Mixture,0.9,10000,3,0.234268,0.234268
Normal,0.1,5,2,7e-05,7e-05
Normal,0.1,5,3,6.6e-05,6.6e-05
Normal,0.1,10,2,4.9e-05,4.9e-05
Normal,0.1,10,3,4.1e-05,4.1e-05
Normal,0.1,50,2,5e-06,5e-06
Normal,0.1,50,3,1e-05,1e-05
Normal,0.1,100,2,6e-06,6e-06
Normal,0.1,100,3,5e-06,5e-06
Normal,0.1,500,2,0.0,0.0
Normal,0.1,500,3,1e-06,1e-06
Normal,0.1,1000,2,3e-06,3e-06
Normal,0.1,1000,3,1e-06,1e-06
Normal,0.1,5000,2,2e-06,2e-06
Normal,0.1,5000,3,0.0,0.0
Normal,0.1,10000,2,0.0,0.0
Normal,0.1,10000,3,0.0,0.0
Normal,0.3,5,2,0.001816,0.001816
Normal,0.3,5,3,0.001745,0.001745
Normal,0.3,10,2,0.00119,0.00119
Normal,0.3,10,3,0.001076,0.001076
Normal,0.3,50,2,0.000226,0.000226
Normal,0.3,50,3,0.000264,0.000264
Normal,0.3,100,2,3.3e-05,3.3e-05
Normal,0.3,100,3,0.000127,0.000127
Normal,0.3,500,2,1.8e-05,1.8e-05
Normal,0.3,500,3,3.2e-05,3.2e-05
Normal,0.3,1000,2,3.8e-05,3.8e-05
Normal,0.3,1000,3,1.6e-05,1.6e-05
Normal,0.3,5000,2,2.1e-05,2.1e-05
Normal,0.3,5000,3,4e-06,4e-06
Normal,0.3,10000,2,3e-06,3e-06
Normal,0.3,10000,3,2e-06,2e-06
Normal,0.5,5,2,0.008261,0.008261
Normal,0.5,5,3,0.007586,0.007586
Normal,0.5,10,2,0.005447,0.005447
Normal,0.5,10,3,0.004548,0.004548
Normal,0.5,50,2,0.001186,0.001186
Normal,0.5,50,3,0.001223,0.001223
Normal,0.5,100,2,0.000357,0.000357
Normal,0.5,100,3,0.000607,0.000607
Normal,0.5,500,2,0.000116,0.000116
Normal,0.5,500,3,0.000157,0.000157
Normal,0.5,1000,2,0.000138,0.000138
Normal,0.5,1000,3,7.6e-05,7.6e-05
Normal,0.5,5000,2,6.4e-05,6.4e-05
Normal,0.5,5000,3,1.7e-05,1.7e-05
Normal,0.5,10000,2,1.1e-05,1.1e-05
Normal,0.5,10000,3,7e-06,7e-06
Normal,0.7,5,2,0.022154,0.022154
Normal,0.7,5,3,0.019464,0.019464
Normal,0.7,10,2,0.015961,0.015961
Normal,0.7,10,3,0.012397,0.012397
Normal,0.7,50,2,0.003838,0.003838
Normal,0.7,50,3,0.003331,0.003331
Normal,0.7,100,2,0.001387,0.001387
Normal,0.7,100,3,0.001731,0.001731
Normal,0.7,500,2,0.000384,0.000384
Normal,0.7,500,3,0.000459,0.000459
Normal,0.7,1000,2,0.000344,0.000344
Normal,0.7,1000,3,0.000221,0.000221
Normal,0.7,5000,2,0.000143,0.000143
Normal,0.7,5000,3,5e-05,5e-05
Normal,0.7,10000,2,2.8e-05,2.8e-05
Normal,0.7,10000,3,2e-05,2e-05
Normal,0.9,5,2,0.073861,0.073861
Normal,0.9,5,3,0.043536,0.043536
Normal,0.9,10,2,0.06659,0.06659
Normal,0.9,10,3,0.033867,0.033867
Normal,0.9,50,2,0.028457,0.028457
Normal,0.9,50,3,0.009869,0.009869
Normal,0.9,100,2,0.016096,0.016096
Normal,0.9,100,3,0.004947,0.004947
Normal,0.9,500,2,0.0018,0.0018
Normal,0.9,500,3,0.001124,0.001124
Normal,0.9,1000,2,0.000815,0.000815
Normal,0.9,1000,3,0.00053,0.00053
Normal,0.9,5000,2,0.000271,0.000271
Normal,0.9,5000,3,0.000118,0.000118
Normal,0.9,10000,2,5.9e-05,5.9e-05
Normal,0.9,10000,3,4.5e-05,4.5e-05
Pareto,0.1,5,2,0.000363,0.000363
Pareto,0.1,5,3,1e-06,1e-06
Pareto,0.1,10,2,0.0007,0.0007
Pareto,0.1,10,3,4e-06,4e-06
Pareto,0.1,50,2,0.001439,0.001439
Pareto,0.1,50,3,2.4e-05,2.4e-05
Pareto,0.1,100,2,0.001679,0.001679
Pareto,0.1,100,3,3.5e-05,3.5e-05
Pareto,0.1,500,2,0.002068,0.002068
Pareto,0.1,500,3,5.7e-05,5.7e-05
Pareto,0.1,1000,2,0.002164,0.002164
Pareto,0.1,1000,3,6.5e-05,6.5e-05
Pareto,0.1,5000,2,0.002279,0.002279
Pareto,0.1,5000,3,7.7e-05,7.7e-05
Pareto,0.1,10000,2,0.002299,0.002299
Pareto,0.1,10000,3,8.1e-05,8.1e-05
Pareto,0.3,5,2,0.003236,0.003236
Pareto,0.3,5,3,3.9e-05,3.9e-05
Pareto,0.3,10,2,0.00637,0.00637
Pareto,0.3,10,3,8.9e-05,8.9e-05
Pareto,0.3,50,2,0.013454,0.013454
Pareto,0.3,50,3,0.000609,0.000609
Pareto,0.3,100,2,0.015842,0.015842
Pareto,0.3,100,3,0.000872,0.000872
Pareto,0.3,500,2,0.019871,0.019871
Pareto,0.3,500,3,0.001483,0.001483
Pareto,0.3,1000,2,0.020843,0.020843
Pareto,0.3,1000,3,0.001714,0.001714
Pareto,0.3,5000,2,0.022212,0.022212
Pareto,0.3,5000,3,0.002098,0.002098
Pareto,0.3,10000,2,0.022502,0.022502
Pareto,0.3,10000,3,0.002254,0.002254
Pareto,0.5,5,2,0.00888,0.00888
Pareto,0.5,5,3,0.000205,0.000205
Pareto,0.5,10,2,0.017862,0.017862
Pareto,0.5,10,3,0.000352,0.000352
Pareto,0.5,50,2,0.038491,0.038491
Pareto,0.5,50,3,0.002639,0.002639
Pareto,0.5,100,2,0.045583,0.045583
Pareto,0.5,100,3,0.003827,0.003827
Pareto,0.5,500,2,0.058357,0.058357
Pareto,0.5,500,3,0.006717,0.006717
Pareto,0.5,1000,2,0.061858,0.061858
Pareto,0.5,1000,3,0.007772,0.007772
Pareto,0.5,5000,2,0.066868,0.066868
Pareto,0.5,5000,3,0.009808,0.009808
Pareto,0.5,10000,2,0.067926,0.067926
Pareto,0.5,10000,3,0.010331,0.010331
Pareto,0.7,5,2,0.017139,0.017139
Pareto,0.7,5,3,0.000616,0.000616
Pareto,0.7,10,2,0.034577,0.034577
Pareto,0.7,10,3,0.000815,0.000815
Pareto,0.7,50,2,0.072442,0.072442
Pareto,0.7,50,3,0.006784,0.006784
Pareto,0.7,100,2,0.085532,0.085532
Pareto,0.7,100,3,0.009873,0.009873
Pareto,0.7,500,2,0.11116,0.11116
Pareto,0.7,500,3,0.017394,0.017394
Pareto,0.7,1000,2,0.11941,0.11941
Pareto,0.7,1000,3,0.020468,0.020468
Pareto,0.7,5000,2,0.134428,0.134428
Pareto,0.7,5000,3,0.026129,0.026129
Pareto,0.7,10000,2,0.139015,0.139015
Pareto,0.7,10000,3,0.027828,0.027828
Pareto,0.9,5,2,0.020506,0.020506
Pareto,0.9,5,3,0.001408,0.001408
Pareto,0.9,10,2,0.03551,0.03551
Pareto,0.9,10,3,0.001435,0.001435
Pareto,0.9,50,2,0.065356,0.065356
Pareto,0.9,50,3,0.01158,0.01158
Pareto,0.9,100,2,0.075271,0.075271
Pareto,0.9,100,3,0.016298,0.016298
Pareto,0.9,500,2,0.090502,0.090502
Pareto,0.9,500,3,0.027364,0.027364
Pareto,0.9,1000,2,0.093787,0.093787
Pareto,0.9,1000,3,0.032106,0.032106
Pareto,0.9,5000,3,0.042799,0.042799
Pareto,0.9,10000,3,0.047034,0.047034
Skew-normal,0.1,5,2,0.000547,0.000547
Skew-normal,0.1,5,3,2.5e-05,2.5e-05
Skew-normal,0.1,10,2,0.001026,0.001026
Skew-normal,0.1,10,3,1.1e-05,1.1e-05
Skew-normal,0.1,50,2,0.001605,0.001605
Skew-normal,0.1,50,3,1.2e-05,1.2e-05
Skew-normal,0.1,100,2,0.001696,0.001696
Skew-normal,0.1,100,3,1.7e-05,1.7e-05
Skew-normal,0.1,500,2,0.001768,0.001768
Skew-normal,0.1,500,3,2.1e-05,2.1e-05
Skew-normal,0.1,1000,2,0.001777,0.001777
Skew-normal,0.1,1000,3,2.1e-05,2.1e-05
Skew-normal,0.1,5000,2,0.001787,0.001787
Skew-normal,0.1,5000,3,2.2e-05,2.2e-05
Skew-normal,0.1,10000,2,0.001788,0.001788
Skew-normal,0.1,10000,3,2.2e-05,2.2e-05
Skew-normal,0.3,5,2,0.004415,0.004415
Skew-normal,0.3,5,3,0.00071,0.00071
Skew-normal,0.3,10,2,0.008972,0.008972
Skew-normal,0.3,10,3,0.000367,0.000367
Skew-normal,0.3,50,2,0.014649,0.014649
Skew-normal,0.3,50,3,0.000257,0.000257
Skew-normal,0.3,100,2,0.015562,0.015562
Skew-normal,0.3,100,3,0.000395,0.000395
Skew-normal,0.3,500,2,0.016293,0.016293
Skew-normal,0.3,500,3,0.000517,0.000517
Skew-normal,0.3,1000,2,0.016389,0.016389
Skew-normal,0.3,1000,3,0.000535,0.000535
Skew-normal,0.3,5000,2,0.016488,0.016488
Skew-normal,0.3,5000,3,0.00055,0.00055
Skew-normal,0.3,10000,2,0.016501,0.016501
Skew-normal,0.3,10000,3,0.000551,0.000551
Skew-normal,0.5,5,2,0.010658,0.010658
Skew-normal,0.5,5,3,0.003377,0.003377
Skew-normal,0.5,10,2,0.023951,0.023951
Skew-normal,0.5,10,3,0.001958,0.001958
Skew-normal,0.5,50,2,0.041123,0.041123
Skew-normal,0.5,50,3,0.000896,0.000896
Skew-normal,0.5,100,2,0.043978,0.043978
Skew-normal,0.5,100,3,0.001573,0.001573
Skew-normal,0.5,500,2,0.046287,0.046287
Skew-normal,0.5,500,3,0.002198,0.002198
Skew-normal,0.5,1000,2,0.046592,0.046592
Skew-normal,0.5,1000,3,0.002289,0.002289
Skew-normal,0.5,5000,2,0.046899,0.046899
Skew-normal,0.5,5000,3,0.002366,0.002366
Skew-normal,0.5,10000,2,0.046938,0.046938
Skew-normal,0.5,10000,3,0.002375,0.002375
Skew-normal,0.7,5,2,0.017454,0.017454
Skew-normal,0.7,5,3,0.009396,0.009396
Skew-normal,0.7,10,2,0.042767,0.042767
Skew-normal,0.7,10,3,0.005977,0.005977
Skew-normal,0.7,50,2,0.079723,0.079723
Skew-normal,0.7,50,3,0.00168,0.00168
Skew-normal,0.7,100,2,0.08697,0.08697
Skew-normal,0.7,100,3,0.003629,0.003629
Skew-normal,0.7,500,2,0.092622,0.092622
Skew-normal,0.7,500,3,0.005512,0.005512
Skew-normal,0.7,1000,2,0.09332,0.09332
Skew-normal,0.7,1000,3,0.005795,0.005795
Skew-normal,0.7,5000,2,0.093997,0.093997
Skew-normal,0.7,5000,3,0.006026,0.006026
Skew-normal,0.7,10000,2,0.09408,0.09408
Skew-normal,0.7,10000,3,0.006052,0.006052
Skew-normal,0.9,5,2,0.005832,0.005832
Skew-normal,0.9,5,3,0.019986,0.019986
Skew-normal,0.9,10,2,0.0138,0.0138
Skew-normal,0.9,10,3,0.01376,0.01376
Skew-normal,0.9,50,2,0.058751,0.058751
Skew-normal,0.9,50,3,0.0012,0.0012
Skew-normal,0.9,100,2,0.072354,0.072354
Skew-normal,0.9,100,3,0.005507,0.005507
Skew-normal,0.9,500,2,0.090584,0.090584
Skew-normal,0.9,500,3,0.010474,0.010474
Skew-normal,0.9,1000,2,0.094111,0.094111
Skew-normal,0.9,1000,3,0.011299,0.011299
Skew-normal,0.9,5000,3,0.011857,0.011857
Skew-normal,0.9,10000,3,0.011915,0.011915
Uniform,0.1,5,2,5.4e-05,5.4e-05
Uniform,0.1,5,3,6e-05,6e-05
Uniform,0.1,10,2,6.6e-05,6.6e-05
Uniform,0.1,10,3,6.2e-05,6.2e-05
Uniform,0.1,50,2,7.3e-05,7.3e-05
Uniform,0.1,50,3,7.1e-05,7.1e-05
Uniform,0.1,100,2,7.2e-05,7.2e-05
Uniform,0.1,100,3,7.3e-05,7.3e-05
Uniform,0.1,500,2,7.3e-05,7.3e-05
Uniform,0.1,500,3,7.4e-05,7.4e-05
Uniform,0.1,1000,2,7.5e-05,7.5e-05
Uniform,0.1,1000,3,7.5e-05,7.5e-05
Uniform,0.1,5000,2,7.5e-05,7.5e-05
Uniform,0.1,5000,3,7.5e-05,7.5e-05
Uniform,0.1,10000,2,7.5e-05,7.5e-05
Uniform,0.1,10000,3,7.5e-05,7.5e-05
Uniform,0.3,5,2,0.001547,0.001547
Uniform,0.3,5,3,0.001588,0.001588
Uniform,0.3,10,2,0.001689,0.001689
Uniform,0.3,10,3,0.001648,0.001648
Uniform,0.3,50,2,0.001921,0.001921
Uniform,0.3,50,3,0.001903,0.001903
Uniform,0.3,100,2,0.001936,0.001936
Uniform,0.3,100,3,0.001948,0.001948
Uniform,0.3,500,2,0.001978,0.001978
Uniform,0.3,500,3,0.001988,0.001988
Uniform,0.3,1000,2,0.001997,0.001997
Uniform,0.3,1000,3,0.001994,0.001994
Uniform,0.3,5000,2,0.001998,0.001998
Uniform,0.3,5000,3,0.001999,0.001999
Uniform,0.3,10000,2,0.001998,0.001998
Uniform,0.3,10000,3,0.001999,0.001999
Uniform,0.5,5,2,0.007152,0.007152
Uniform,0.5,5,3,0.00711,0.00711
Uniform,0.5,10,2,0.007625,0.007625
Uniform,0.5,10,3,0.007424,0.007424
Uniform,0.5,50,2,0.008676,0.008676
Uniform,0.5,50,3,0.008614,0.008614
Uniform,0.5,100,2,0.008794,0.008794
Uniform,0.5,100,3,0.008822,0.008822
Uniform,0.5,500,2,0.008977,0.008977
Uniform,0.5,500,3,0.009003,0.009003
Uniform,0.5,1000,2,0.009039,0.009039
Uniform,0.5,1000,3,0.00903,0.00903
Uniform,0.5,5000,2,0.009051,0.009051
Uniform,0.5,5000,3,0.009054,0.009054
Uniform,0.5,10000,2,0.00905,0.00905
Uniform,0.5,10000,3,0.009054,0.009054
Uniform,0.7,5,2,0.019291,0.019291
Uniform,0.7,5,3,0.018454,0.018454
Uniform,0.7,10,2,0.020316,0.020316
Uniform,0.7,10,3,0.019548,0.019548
Uniform,0.7,50,2,0.023048,0.023048
Uniform,0.7,50,3,0.022885,0.022885
Uniform,0.7,100,2,0.023415,0.023415
Uniform,0.7,100,3,0.023444,0.023444
Uniform,0.7,500,2,0.023882,0.023882
Uniform,0.7,500,3,0.023927,0.023927
Uniform,0.7,1000,2,0.024017,0.024017
Uniform,0.7,1000,3,0.023998,0.023998
Uniform,0.7,5000,2,0.024056,0.024056
Uniform,0.7,5000,3,0.024061,0.024061
Uniform,0.7,10000,2,0.024053,0.024053
Uniform,0.7,10000,3,0.024061,0.024061
Uniform,0.9,5,2,0.062305,0.062305
Uniform,0.9,5,3,0.038609,0.038609
Uniform,0.9,10,2,0.055178,0.055178
Uniform,0.9,10,3,0.040263,0.040263
Uniform,0.9,50,2,0.047287,0.047287
Uniform,0.9,50,3,0.046684,0.046684
Uniform,0.9,100,2,0.047856,0.047856
Uniform,0.9,100,3,0.047844,0.047844
Uniform,0.9,500,2,0.048771,0.048771
Uniform,0.9,500,3,0.048831,0.048831
Uniform,0.9,1000,2,0.04901,0.04901
Uniform,0.9,1000,3,0.048974,0.048974
Uniform,0.9,5000,2,0.049095,0.049095
Uniform,0.9,5000,3,0.049101,0.049101
Uniform,0.9,10000,2,0.049091,0.049091
Uniform,0.9,10000,3,0.049103,0.049103
